"Name","API Name","Memory","Compute Units (ECU)","vCPUs","GiB of Memory per vCPU","GPUs","GPU model","GPU memory","CUDA Compute Capability","FPGAs","ECU per vCPU","Physical Processor","Clock Speed(GHz)","Intel AVX","Intel AVX2","Intel AVX-512","Intel Turbo","Instance Storage","Instance Storage: already warmed-up","Instance Storage: SSD TRIM Support","Arch","Network Performance","EBS Optimized: Max Bandwidth","EBS Optimized: Max Throughput (128K)","EBS Optimized: Max IOPS (16K)","EBS Exposed as NVMe","Max IPs","Max ENIs","Enhanced Networking","VPC Only","IPv6 Support","Placement Group Support","Linux Virtualization","On EMR","Availability Zones","Linux On Demand cost","Linux Reserved cost","Linux Spot Minimum cost","Linux Spot Maximum cost","RHEL On Demand cost","RHEL Reserved cost","RHEL Spot Minimum cost","RHEL Spot Maximum cost","SLES On Demand cost","SLES Reserved cost","SLES Spot Minimum cost","SLES Spot Maximum cost","Windows On Demand cost","Windows Reserved cost","Windows Spot Minimum cost","Windows Spot Maximum cost","Windows SQL Web On Demand cost","Windows SQL Web Reserved cost","Windows SQL Std On Demand cost","Windows SQL Std Reserved cost","Windows SQL Ent On Demand cost","Windows SQL Ent Reserved cost","Linux SQL Web On Demand cost","Linux SQL Web Reserved cost","Linux SQL Std On Demand cost","Linux SQL Std Reserved cost","Linux SQL Ent On Demand cost","Linux SQL Ent Reserved cost","EBS Optimized surcharge","EMR cost"
"C6G Medium","c6g.medium","2.0 GiB","0 units","1 vCPUs","2.00 GiB/vCPU","0","None","0 GiB","0","0","0 units","AWS Graviton2 Processor","2.5 GHz","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","Up to 10 Gigabit","4750.0 Mbps","593.75 Mbps","20000.0 IOPS","Yes","8","2","Yes","Yes","Yes","No","Unknown","No","use1-az1, use1-az2, use1-az4, use1-az5, use1-az6","$0.034 hourly","$0.0214 hourly","$0.017000 hourly","$0.017000 hourly","$0.094 hourly","$0.0814 hourly","$0.077000 hourly","$0.077000 hourly","$0.065 hourly","$0.0344 hourly","$0.048000 hourly","$0.048000 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0","unavailable"
"A1 Medium","a1.medium","2.0 GiB","0 units","1 vCPUs","2.00 GiB/vCPU","0","None","0 GiB","0","0","0 units","AWS Graviton Processor","2.3 GHz","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","Up to 10 Gigabit","3500.0 Mbps","437.5 Mbps","20000.0 IOPS","Yes","8","2","Yes","Yes","Yes","No","Unknown","No","use1-az2, use1-az4, use1-az6","$0.0255 hourly","$0.0161 hourly","$0.008400 hourly","$0.009600 hourly","$0.0855 hourly","$0.0761 hourly","$0.068400 hourly","$0.069600 hourly","$0.0565 hourly","$0.0291 hourly","$0.039400 hourly","$0.040600 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0","unavailable"
"M2 High Memory Double Extra Large","m2.2xlarge","34.2 GiB","13 units","4 vCPUs","8.55 GiB/vCPU","0","None","0 GiB","0","0","3.25 units","Intel Xeon Family","unknown","unknown","unknown","unknown","unknown","850 GB                 HDD","No","N/A","64-bit","Moderate","500.0 Mbps","62.5 Mbps","4000.0 IOPS","No","120","4","No","No","No","No","PV","Yes","use1-az1, use1-az2, use1-az4, use1-az6","$0.49 hourly","$0.222 hourly","$0.049000 hourly","$0.278500 hourly","$0.55 hourly","$0.282 hourly","$0.109000 hourly","$0.338500 hourly","$0.59 hourly","$0.258 hourly","$0.149000 hourly","$0.378500 hourly","$0.69 hourly","$0.496 hourly","$0.249000 hourly","$0.457800 hourly","$0.85 hourly","$0.622 hourly","$1.489 hourly","$0.944 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0","$0.123 hourly"
"X2GD 16xlarge","x2gd.16xlarge","1024.0 GiB","0 units","64 vCPUs","16.00 GiB/vCPU","0","None","0 GiB","0","0","0 units","AWS Graviton2 Processor","2.5 GHz","unknown","unknown","unknown","unknown","3800 GB                 (2 * 1900 GB NVMe SSD)","Yes","Yes","64-bit","25 Gigabit","19000.0 Mbps","2375.0 Mbps","80000.0 IOPS","Yes","750","15","Yes","Yes","Yes","No","Unknown","No","use1-az1, use1-az2, use1-az4, use1-az5, use1-az6","$5.344 hourly","$3.2932 hourly","$1.603200 hourly","$1.690400 hourly","$5.474 hourly","$3.4232 hourly","$1.733200 hourly","$1.820400 hourly","$5.494 hourly","$3.3532 hourly","$1.753200 hourly","$1.840400 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0","unavailable"
"R5AD Quadruple Extra Large","r5ad.4xlarge","128.0 GiB","0 units","16 vCPUs","8.00 GiB/vCPU","0","None","0 GiB","0","0","0 units","AMD EPYC 7571","2.5 GHz","unknown","unknown","unknown","unknown","600 GB                 (2 * 300 GB NVMe SSD)","Yes","Yes","64-bit","Up to 10 Gigabit","2880.0 Mbps","360.0 Mbps","16000.0 IOPS","Yes","240","8","Yes","Yes","Yes","No","Unknown","No","use1-az1, use1-az2, use1-az4, use1-az5, use1-az6","$1.048 hourly","$0.66 hourly","$0.335500 hourly","$0.629700 hourly","$1.213 hourly","$0.822 hourly","$0.465500 hourly","$0.759700 hourly","$1.198 hourly","$0.72 hourly","$0.485500 hourly","$0.779700 hourly","$1.784 hourly","$1.396 hourly","$1.021000 hourly","$1.021000 hourly","$2.054 hourly","$1.667 hourly","$3.704 hourly","$3.316 hourly","$7.784 hourly","$7.396 hourly","$1.318 hourly","$0.931 hourly","$2.968 hourly","$2.58 hourly","$7.048 hourly","$6.66 hourly","0","unavailable"
"C6G Large","c6g.large","4.0 GiB","0 units","2 vCPUs","2.00 GiB/vCPU","0","None","0 GiB","0","0","0 units","AWS Graviton2 Processor","2.5 GHz","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","Up to 10 Gigabit","4750.0 Mbps","593.75 Mbps","20000.0 IOPS","Yes","30","3","Yes","Yes","Yes","No","Unknown","No","use1-az1, use1-az2, use1-az4, use1-az5, use1-az6","$0.068 hourly","$0.0428 hourly","$0.034000 hourly","$0.034000 hourly","$0.128 hourly","$0.1028 hourly","$0.094000 hourly","$0.094000 hourly","$0.131 hourly","$0.0678 hourly","$0.097000 hourly","$0.097000 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0","unavailable"
"T3A Nano","t3a.nano","0.5 GiB","Base performance:                   10%","2 vCPUs                                                         for a                   1h 12m                   burst","0.25 GiB/vCPU","0","None","0 GiB","0","0","Burstable","AMD EPYC 7571","2.5 GHz","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","Up to 5 Gigabit","2085.0 Mbps","260.57 Mbps","11800.0 IOPS","Yes","4","2","Yes","Yes","Yes","No","Unknown","No","use1-az1, use1-az2, use1-az4, use1-az5, use1-az6","$0.0047 hourly","$0.0029 hourly","$0.001800 hourly","$0.002100 hourly","unavailable","unavailable","$0.061800 hourly","$0.062100 hourly","$0.0047 hourly","$0.0069 hourly","$0.001800 hourly","$0.002100 hourly","$0.0093 hourly","$0.0075 hourly","$0.006000 hourly","$0.006000 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0","unavailable"
"IM4GN Extra Large","im4gn.xlarge","16.0 GiB","0 units","4 vCPUs","4.00 GiB/vCPU","0","None","0 GiB","0","0","0 units","AWS Graviton2 Processor","2.5 GHz","unknown","unknown","unknown","unknown","1875 GB                 NVMe SSD","Yes","Yes","64-bit","Up to 25 Gigabit","9500.0 Mbps","1187.5 Mbps","40000.0 IOPS","Yes","60","4","Yes","Yes","Yes","No","Unknown","No","use1-az2, use1-az4, use1-az6","$0.36379 hourly","$0.23331 hourly","$0.109100 hourly","$0.109100 hourly","$0.42379 hourly","$0.29331 hourly","$0.169100 hourly","$0.169100 hourly","$0.48879 hourly","$0.28331 hourly","$0.234100 hourly","$0.234100 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0","unavailable"
"G5G Quadruple Extra Large","g5g.4xlarge","32.0 GiB","0 units","16 vCPUs","2.00 GiB/vCPU","1","None","0 GiB","0","0","0 units","AWS Graviton2 Processor","2.5 GHz","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","Up to 10 Gigabit","4750.0 Mbps","593.75 Mbps","20000.0 IOPS","Yes","240","8","Yes","Yes","Yes","No","Unknown","No","use1-az1, use1-az2, use1-az4, use1-az6","$0.828 hourly","$0.5216 hourly","$0.248400 hourly","$0.248400 hourly","$0.958 hourly","$0.6516 hourly","$0.378400 hourly","$0.378400 hourly","$0.978 hourly","$0.5816 hourly","$0.398400 hourly","$0.398400 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0","unavailable"
"C6GD Quadruple Extra Large","c6gd.4xlarge","32.0 GiB","0 units","16 vCPUs","2.00 GiB/vCPU","0","None","0 GiB","0","0","0 units","AWS Graviton2 Processor","2.5 GHz","unknown","unknown","unknown","unknown","950 GB                 NVMe SSD","Yes","Yes","64-bit","Up to 10 Gigabit","4750.0 Mbps","593.75 Mbps","20000.0 IOPS","Yes","240","8","Yes","Yes","Yes","No","Unknown","No","use1-az1, use1-az2, use1-az4, use1-az5, use1-az6","$0.6144 hourly","$0.3871 hourly","$0.272100 hourly","$0.321700 hourly","$0.7794 hourly","$0.5491 hourly","$0.402100 hourly","$0.451700 hourly","$0.7644 hourly","$0.4471 hourly","$0.422100 hourly","$0.471700 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0","unavailable"
"High Memory Cluster Eight Extra Large","cr1.8xlarge","244.0 GiB","88 units","32 vCPUs","7.62 GiB/vCPU","0","None","0 GiB","0","0","2.75 units","Intel Xeon E5-2670","unknown","unknown","unknown","unknown","unknown","240 GB                 (2 * 120 GB SSD)","No","No","64-bit","10 Gigabit","N/A","0 Mbps","0 IOPS","No","240","8","No","No","No","No","Unknown","Yes","","$3.5 hourly","unavailable","unavailable","unavailable","$3.63 hourly","unavailable","unavailable","unavailable","$3.6 hourly","unavailable","unavailable","unavailable","$3.831 hourly","unavailable","unavailable","unavailable","$4.044 hourly","unavailable","$7.25 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","$0.270 hourly"
"R6GD Medium","r6gd.medium","8.0 GiB","0 units","1 vCPUs","8.00 GiB/vCPU","0","None","0 GiB","0","0","0 units","AWS Graviton2 Processor","2.5 GHz","unknown","unknown","unknown","unknown","59 GB                 NVMe SSD","Yes","Yes","64-bit","Up to 10 Gigabit","4750.0 Mbps","593.75 Mbps","20000.0 IOPS","Yes","8","2","Yes","Yes","Yes","No","Unknown","No","use1-az1, use1-az2, use1-az4, use1-az5, use1-az6","$0.0576 hourly","$0.0363 hourly","$0.018700 hourly","$0.018700 hourly","$0.1176 hourly","$0.0963 hourly","$0.078700 hourly","$0.078700 hourly","$0.0886 hourly","$0.0493 hourly","$0.049700 hourly","$0.049700 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0","unavailable"
"M5N Eight Extra Large","m5n.8xlarge","128.0 GiB","0 units","32 vCPUs","4.00 GiB/vCPU","0","None","0 GiB","0","0","0 units","Intel Xeon Platinum 8259 (Cascade Lake)","3.1 GHz","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","25 Gigabit","6800.0 Mbps","850.0 Mbps","30000.0 IOPS","Yes","240","8","No","Yes","Yes","No","Unknown","No","use1-az1, use1-az2, use1-az4, use1-az5, use1-az6","$1.904 hourly","$1.2 hourly","$0.651400 hourly","$1.121500 hourly","$2.069 hourly","$1.362 hourly","$0.781400 hourly","$1.251500 hourly","unavailable","unavailable","$0.801400 hourly","$1.271500 hourly","$3.376 hourly","$2.672 hourly","$2.016100 hourly","$2.016100 hourly","$3.917 hourly","$3.212 hourly","$7.216 hourly","$6.512 hourly","$15.376 hourly","$14.672 hourly","$2.445 hourly","$1.74 hourly","$5.744 hourly","$5.04 hourly","$13.904 hourly","$13.2 hourly","0","unavailable"
"M6GD Eight Extra Large","m6gd.8xlarge","128.0 GiB","0 units","32 vCPUs","4.00 GiB/vCPU","0","None","0 GiB","0","0","0 units","AWS Graviton2 Processor","2.5 GHz","unknown","unknown","unknown","unknown","1900 GB                 NVMe SSD","Yes","Yes","64-bit","12 Gigabit","9500.0 Mbps","1187.5 Mbps","40000.0 IOPS","Yes","240","8","Yes","Yes","Yes","No","Unknown","No","use1-az1, use1-az2, use1-az4, use1-az5, use1-az6","$1.4464 hourly","$0.9112 hourly","$0.571300 hourly","$0.571300 hourly","$1.5764 hourly","$1.0412 hourly","$0.701300 hourly","$0.701300 hourly","$1.5964 hourly","$0.9712 hourly","$0.721300 hourly","$0.721300 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0","unavailable"
"A1 Large","a1.large","4.0 GiB","0 units","2 vCPUs","2.00 GiB/vCPU","0","None","0 GiB","0","0","0 units","AWS Graviton Processor","2.3 GHz","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","Up to 10 Gigabit","3500.0 Mbps","437.5 Mbps","20000.0 IOPS","Yes","30","3","Yes","Yes","Yes","No","Unknown","No","use1-az2, use1-az4, use1-az6","$0.051 hourly","$0.0321 hourly","$0.019700 hourly","$0.023400 hourly","$0.111 hourly","$0.0921 hourly","$0.079700 hourly","$0.083400 hourly","$0.114 hourly","$0.0571 hourly","$0.082700 hourly","$0.086400 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0","unavailable"
"G5G Double Extra Large","g5g.2xlarge","16.0 GiB","0 units","8 vCPUs","2.00 GiB/vCPU","1","None","0 GiB","0","0","0 units","AWS Graviton2 Processor","2.5 GHz","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","Up to 10 Gigabit","4750.0 Mbps","593.75 Mbps","20000.0 IOPS","Yes","60","4","Yes","Yes","Yes","No","Unknown","No","use1-az1, use1-az2, use1-az4, use1-az6","$0.556 hourly","$0.3503 hourly","$0.166800 hourly","$0.166800 hourly","$0.721 hourly","$0.5123 hourly","$0.296800 hourly","$0.296800 hourly","$0.706 hourly","$0.4103 hourly","$0.316800 hourly","$0.316800 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0","unavailable"
"T3A Extra Large","t3a.xlarge","16.0 GiB","Base performance:                   160%","4 vCPUs                                                         for a                   9h 36m                   burst","4.00 GiB/vCPU","0","None","0 GiB","0","0","Burstable","AMD EPYC 7571","2.5 GHz","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","Up to 5 Gigabit","2780.0 Mbps","347.5 Mbps","15700.0 IOPS","Yes","60","4","Yes","Yes","Yes","No","Unknown","No","use1-az1, use1-az2, use1-az4, use1-az5, use1-az6","$0.1504 hourly","$0.0943 hourly","$0.056200 hourly","$0.066900 hourly","$0.2454 hourly","$0.1863 hourly","$0.116200 hourly","$0.126900 hourly","$0.2754 hourly","$0.1443 hourly","$0.181200 hourly","$0.191900 hourly","$0.224 hourly","$0.1679 hourly","$0.118700 hourly","$0.118700 hourly","$0.2916 hourly","$0.2355 hourly","$0.704 hourly","$0.6479 hourly","$1.724 hourly","$1.6679 hourly","$0.218 hourly","$0.1619 hourly","$0.6304 hourly","$0.5743 hourly","$1.6504 hourly","$1.5943 hourly","0","unavailable"
"C6G Eight Extra Large","c6g.8xlarge","64.0 GiB","0 units","32 vCPUs","2.00 GiB/vCPU","0","None","0 GiB","0","0","0 units","AWS Graviton2 Processor","2.5 GHz","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","12 Gigabit","9500.0 Mbps","1187.5 Mbps","40000.0 IOPS","Yes","240","8","Yes","Yes","Yes","No","Unknown","No","use1-az1, use1-az2, use1-az4, use1-az5, use1-az6","$1.088 hourly","$0.6854 hourly","$0.544100 hourly","$0.565400 hourly","$1.218 hourly","$0.8154 hourly","$0.674100 hourly","$0.695400 hourly","$1.238 hourly","$0.7454 hourly","$0.694100 hourly","$0.715400 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0","unavailable"
"C6GN 16xlarge","c6gn.16xlarge","128.0 GiB","0 units","64 vCPUs","2.00 GiB/vCPU","0","None","0 GiB","0","0","0 units","AWS Graviton2 Processor","2.5 GHz","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","100 Gigabit","38000.0 Mbps","4750.0 Mbps","160000.0 IOPS","Yes","750","15","Yes","Yes","Yes","No","Unknown","No","use1-az1, use1-az2, use1-az4, use1-az6","$2.7648 hourly","$1.74502 hourly","$1.088200 hourly","$1.088200 hourly","$2.8948 hourly","$1.87502 hourly","$1.218200 hourly","$1.218200 hourly","$2.9148 hourly","$1.80502 hourly","$1.238200 hourly","$1.238200 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0","unavailable"
"C6GN Medium","c6gn.medium","2.0 GiB","0 units","1 vCPUs","2.00 GiB/vCPU","0","None","0 GiB","0","0","0 units","AWS Graviton2 Processor","2.5 GHz","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","Up to 16 Gigabit","9500.0 Mbps","1187.5 Mbps","40000.0 IOPS","Yes","8","2","Yes","Yes","Yes","No","Unknown","No","use1-az1, use1-az2, use1-az4, use1-az6","$0.0432 hourly","$0.02727 hourly","$0.017000 hourly","$0.017000 hourly","$0.1382 hourly","$0.11927 hourly","$0.077000 hourly","$0.077000 hourly","$0.0742 hourly","$0.04027 hourly","$0.048000 hourly","$0.048000 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0","unavailable"
"G5G Extra Large","g5g.xlarge","8.0 GiB","0 units","4 vCPUs","2.00 GiB/vCPU","1","None","0 GiB","0","0","0 units","AWS Graviton2 Processor","2.5 GHz","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","Up to 10 Gigabit","4750.0 Mbps","593.75 Mbps","20000.0 IOPS","Yes","60","4","Yes","Yes","Yes","No","Unknown","No","use1-az1, use1-az2, use1-az4, use1-az6","$0.42 hourly","$0.2646 hourly","$0.126000 hourly","$0.135700 hourly","$0.48 hourly","$0.3246 hourly","$0.186000 hourly","$0.195700 hourly","$0.545 hourly","$0.3146 hourly","$0.251000 hourly","$0.260700 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0","unavailable"
"M6G 12xlarge","m6g.12xlarge","192.0 GiB","0 units","48 vCPUs","4.00 GiB/vCPU","0","None","0 GiB","0","0","0 units","AWS Graviton2 Processor","unknown","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","20 Gigabit","14250.0 Mbps","1781.25 Mbps","50000.0 IOPS","Yes","240","8","Yes","Yes","Yes","No","Unknown","No","use1-az1, use1-az2, use1-az4, use1-az5, use1-az6","$1.848 hourly","$1.1592 hourly","$0.857000 hourly","$0.857000 hourly","$1.978 hourly","$1.2892 hourly","$0.987000 hourly","$0.987000 hourly","$1.998 hourly","$1.2192 hourly","$1.007000 hourly","$1.007000 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0","unavailable"
"C6GN Large","c6gn.large","4.0 GiB","0 units","2 vCPUs","2.00 GiB/vCPU","0","None","0 GiB","0","0","0 units","AWS Graviton2 Processor","2.5 GHz","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","Up to 25 Gigabit","9500.0 Mbps","1187.5 Mbps","40000.0 IOPS","Yes","30","3","Yes","Yes","Yes","No","Unknown","No","use1-az1, use1-az2, use1-az4, use1-az6","$0.0864 hourly","$0.05453 hourly","$0.034000 hourly","$0.034000 hourly","$0.1814 hourly","$0.14653 hourly","$0.094000 hourly","$0.094000 hourly","$0.1494 hourly","$0.07953 hourly","$0.097000 hourly","$0.097000 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0","unavailable"
"T3A Micro","t3a.micro","1.0 GiB","Base performance:                   20%","2 vCPUs                                                         for a                   2h 24m                   burst","0.50 GiB/vCPU","0","None","0 GiB","0","0","Burstable","AMD EPYC 7571","2.5 GHz","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","Up to 5 Gigabit","2085.0 Mbps","260.57 Mbps","11800.0 IOPS","Yes","4","2","Yes","Yes","Yes","No","Unknown","No","use1-az1, use1-az2, use1-az4, use1-az5, use1-az6","$0.0094 hourly","$0.0059 hourly","$0.002900 hourly","$0.003800 hourly","$0.1044 hourly","$0.0979 hourly","$0.062900 hourly","$0.063800 hourly","$0.0094 hourly","$0.0099 hourly","$0.002900 hourly","$0.003800 hourly","$0.0186 hourly","$0.0151 hourly","$0.012000 hourly","$0.012000 hourly","$0.0862 hourly","$0.0827 hourly","unavailable","unavailable","unavailable","unavailable","$0.077 hourly","$0.0735 hourly","unavailable","unavailable","unavailable","unavailable","0","unavailable"
"R6G Extra Large","r6g.xlarge","32.0 GiB","0 units","4 vCPUs","8.00 GiB/vCPU","0","None","0 GiB","0","0","0 units","AWS Graviton2 Processor","2.5 GHz","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","Up to 10 Gigabit","4750.0 Mbps","593.75 Mbps","20000.0 IOPS","Yes","60","4","Yes","Yes","Yes","No","Unknown","No","use1-az1, use1-az2, use1-az4, use1-az5, use1-az6","$0.2016 hourly","$0.127 hourly","$0.074800 hourly","$0.076400 hourly","$0.2966 hourly","$0.219 hourly","$0.134800 hourly","$0.136400 hourly","$0.3266 hourly","$0.177 hourly","$0.199800 hourly","$0.201400 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0","unavailable"
"IM4GN 16xlarge","im4gn.16xlarge","256.0 GiB","0 units","64 vCPUs","4.00 GiB/vCPU","0","None","0 GiB","0","0","0 units","AWS Graviton2 Processor","2.5 GHz","unknown","unknown","unknown","unknown","30000 GB                 (4 * 7500 GB NVMe SSD)","Yes","Yes","64-bit","100 Gigabit","38000.0 Mbps","4750.0 Mbps","160000.0 IOPS","Yes","750","15","Yes","Yes","Yes","No","Unknown","No","use1-az2, use1-az4, use1-az6","$5.82067 hourly","$3.73296 hourly","$1.746200 hourly","$1.746200 hourly","$5.98567 hourly","$3.89496 hourly","$1.876200 hourly","$1.876200 hourly","$5.97067 hourly","$3.79296 hourly","$1.896200 hourly","$1.896200 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0","unavailable"
"X2GD Quadruple Extra Large","x2gd.4xlarge","256.0 GiB","0 units","16 vCPUs","16.00 GiB/vCPU","0","None","0 GiB","0","0","0 units","AWS Graviton2 Processor","2.5 GHz","unknown","unknown","unknown","unknown","950 GB                 NVMe SSD","Yes","Yes","64-bit","Up to 10 Gigabit","4750.0 Mbps","593.75 Mbps","20000.0 IOPS","Yes","240","8","Yes","Yes","Yes","No","Unknown","No","use1-az1, use1-az2, use1-az4, use1-az5, use1-az6","$1.336 hourly","$0.8233 hourly","$0.400800 hourly","$0.576600 hourly","$1.466 hourly","$0.9533 hourly","$0.530800 hourly","$0.706600 hourly","$1.486 hourly","$0.8833 hourly","$0.550800 hourly","$0.726600 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0","unavailable"
"C6GN Metal","c6gn.metal","128.0 GiB","0 units","64 vCPUs","2.00 GiB/vCPU","0","None","0 GiB","0","0","0 units","AWS Graviton2 Processor","2.5 GHz","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","100 Gigabit","N/A","0 Mbps","0 IOPS","No","N/A","N/A","Yes","Yes","Yes","No","Unknown","No","","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable"
"G5 Graphics and Machine Learning GPU 48xlarge","g5.48xlarge","768.0 GiB","0 units","192 vCPUs","4.00 GiB/vCPU","8","NVIDIA A10G","192 GiB","7.5","0","0 units","AMD EPYC 7R32","2.8 GHz","unknown","unknown","unknown","unknown","7600 GB                 (2 * 3800 GB NVMe SSD)","Yes","Yes","64-bit","100 Gigabit","19000.0 Mbps","2375.0 Mbps","80000.0 IOPS","Yes","750","15","Yes","Yes","Yes","No","Unknown","No","use1-az1, use1-az2, use1-az4, use1-az5, use1-az6","$16.288 hourly","$10.26144 hourly","$5.222500 hourly","$5.388700 hourly","$16.453 hourly","$10.42344 hourly","$5.352500 hourly","$5.518700 hourly","$16.438 hourly","$10.32144 hourly","$5.372500 hourly","$5.538700 hourly","$25.12 hourly","$19.09344 hourly","$13.718400 hourly","$13.718400 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0","unavailable"
"R6G Large","r6g.large","16.0 GiB","0 units","2 vCPUs","8.00 GiB/vCPU","0","None","0 GiB","0","0","0 units","AWS Graviton2 Processor","2.5 GHz","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","Up to 10 Gigabit","4750.0 Mbps","593.75 Mbps","20000.0 IOPS","Yes","30","3","Yes","Yes","Yes","No","Unknown","No","use1-az1, use1-az2, use1-az4, use1-az5, use1-az6","$0.1008 hourly","$0.0635 hourly","$0.037400 hourly","$0.037400 hourly","$0.1958 hourly","$0.1555 hourly","$0.097400 hourly","$0.097400 hourly","$0.1638 hourly","$0.0885 hourly","$0.100400 hourly","$0.100400 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0","unavailable"
